name,light_years_from_earth,planet_mass,stellar_magnitude,discovery_date,solar_system_name,planet_radius,pl_orbsmax,pl_radj,pl_bmasse,pl_bmassj,pl_orbeccen,pl_insol,pl_eqt,ttv_flag,st_teff,st_rad,st_met,st_logg,sy_vmag,sy_kmag,sy_gaiamag,releasedate
95,CoRoT-2 b,652.0,3.47 Jupiters,12.57,2008,55 Cnc,44.3446,0.24,,53.711,0.169,0.086,,,0.0,5250.0,0.96,0.35,4.42,5.95084,4.015,5.72973,2014-05-16
96,CoRoT-30 b,3132.0,2.9 Jupiters,15.65,2020,,,,,,,,,,,,,,,,,,
97,CoRoT-31 b,7144.0,0.84 Jupiters,15.465,2020,55 Cnc,43.93,0.24,,68.96911,0.217,0.44,,,0.0,,,,,5.95084,4.015,5.72973,2016-10-13
98,CoRoT-3 b,2218.0,21.66 Jupiters,13.292,2008,,,,,,,,,,,,,,,,,,
99,CoRoT-4 b,2419.0,0.72 Jupiters,13.561,2008,55 Cnc,44.3827,0.2432,,54.34866,0.171,0.048,,,0.0,5317.89,0.96,0.383,4.46,5.95084,4.015,5.72973,2021-06-28
100,CoRoT-5 b,2951.0,0.467 Jupiters,13.902,2009,,,,,,,,,,,,,,,,,,
101,CoRoT-6 b,2144.0,2.96 Jupiters,13.912,2009,55 Cnc,44.38,0.237,,52.44,0.165,0.07,,,0.0,5250.0,0.96,0.35,4.42,5.95084,4.015,5.72973,2014-05-14
102,CoRoT-7 b,524.0,3.1783 Earths,11.668,2009,,,,,,,,,,,,,,,,,,
103,CoRoT-7 c,524.0,8.4 Earths,11.668,2009,55 Cnc,44.373,0.23735,,56.6985,0.1784,0.072,,,0.0,5250.0,0.96,0.35,4.42,5.95084,4.015,5.72973,2014-08-21
104,CoRoT-8 b,1240.0,0.22 Jupiters,14.8,2010,,,,,,,,,,,,,,,,,,
105,CoRoT-9 b,1363.0,0.84 Jupiters,13.69,2009,55 Cnc,44.3787,0.238,,52.44,0.165,0.053,,,0.0,5250.0,0.96,0.35,4.42,5.95084,4.015,5.72973,2014-08-21
106,CoRoTID 223977153 b,1912.0,0.15 Jupiters,13.587,2017,,,,,,,,,,,,,,,,,,
107,CT Chamaleontis b,538.0,17 Jupiters,11.773,2007,55 Cnc,44.4175,0.241376,,54.4738,0.1714,0.02,,,0.0,,,,,5.95084,4.015,5.72973,2014-10-29
108,DE Canun Venaticorum b,100.0,12.0293 Jupiters,11.975,2018,,,,,,,,,,,,,,,,,,
109,DENIS-P J082303.1-491201 b,68.0,28.5 Jupiters,18.558,2013,55 Cnc,5370.0,5.84,,1220.42,3.84,0.063,,,0.0,5250.0,0.96,0.35,4.42,5.95084,4.015,5.72973,2014-08-21
110,DH Tauri b,457.0,11 Jupiters,12.496,2004,,,,,,,,,,,,,,,,,,
111,DMPP-1 b,202.0,24.27 Earths,7.981,2019,55 Cnc,4820.0,5.54,,908.98924,2.86,0.139,,,0.0,5317.89,0.96,0.383,4.46,5.95084,4.015,5.72973,2021-06-28
112,DMPP-1 c,202.0,9.6 Earths,7.981,2019,,,,,,,,,,,,,,,,,,
113,DMPP-1 d,202.0,3.35 Earths,7.981,2019,55 Cnc,4517.4,5.257,,1243.35096,3.912,0.327,,,0.0,,,,,5.95084,4.015,5.72973,2016-10-13
114,DMPP-1 e,202.0,4.13 Earths,7.981,2019,,,,,,,,,,,,,,,,,,
115,DMPP-2 b,437.0,0.437 Jupiters,8.567,2019,55 Cnc,5360.0,5.9,,1287.2115,4.05,0.16,,,0.0,,,0.27,,5.95084,4.015,5.72973,2016-10-06
116,DMPP-3 A b,160.0,2.58 Earths,9.066,2019,,,,,,,,,,,,,,,,,,
117,DP Leonis b,995.0,6.28 Jupiters,18.633,2009,55 Cnc,4867.0,5.446,,1226.77,3.86,0.0269,,,0.0,5250.0,0.96,0.35,4.42,5.95084,4.015,5.72973,2014-08-21
118,DS Tucanae A b,144.0,1.3 Jupiters,8.469,2019,,,,,,,,,,,,,,,,,,
119,EPIC 201238110 b,522.0,4.16 Earths,15.261,2019,55 Cnc,4825.0,5.503,,1232.493,3.878,0.019,,,0.0,,,,,5.95084,4.015,5.72973,2014-10-29
120,EPIC 201497682 b,831.0,0.26 Earths,14.102,2019,,,,,,,,,,,,,,,,,,
121,EPIC 201615463 c,1569.0,1.98 Earths,12.074,2019,55 Cnc,4909.0,5.47,,1121.89,3.53,0.02,,,0.0,5250.0,0.96,0.35,4.42,5.95084,4.015,5.72973,2014-05-14
122,EPIC 201754305 d,1103.0,1.08 Earths,14.67,2019,,,,,,,,,,,,,,,,,,
123,EPIC 201833600 c,846.0,0.972 Earths,14.717,2019,55 Cnc,4545.0,5.28,,918.49,2.89,0.24,,,0.0,,,,,5.95084,4.015,5.72973,2014-08-21
124,EPIC 201841433 b,1442.0,1.37 Earths,14.867,2019,,,,,,,,,,,,,,,,,,
125,EPIC 205950854 c,801.0,2.27 Earths,12.291,2019,55 Cnc,5218.0,5.77,,1218.827,3.835,0.025,,,0.0,5250.0,0.96,0.35,4.42,5.95084,4.015,5.72973,2014-05-16
126,EPIC 206024342 b,1219.0,3.53 Earths,13.116,2019,,,,,,,,,,,,,,,,,,
127,EPIC 206032309 b,529.0,1.01 Earths,16.069,2019,55 Cnc,,0.01544,0.171,8.08,0.02542,,,,0.0,5250.0,0.96,0.35,4.42,5.95084,4.015,5.72973,2016-01-21
128,EPIC 206042996 b,1492.0,3.26 Earths,16.743,2019,,,,,,,,,,,,,,,,,,
129,EPIC 206215704 b,360.0,0.666 Earths,16.172,2019,55 Cnc,0.7365445,0.01583,,9.37594,0.0295,0.036,,,0.0,5317.89,0.96,0.383,4.46,5.95084,4.015,5.72973,2021-06-28
130,EPIC 206317286 b,1035.0,0.84 Earths,14.051,2019,,,,,,,,,,,,,,,,,,
131,EPIC 211822797 b,611.0,4.58 Earths,15.256,2016,55 Cnc,0.737,,0.169,7.74,0.02435,,,,0.0,5172.0,0.95,0.35,4.43,5.95084,4.015,5.72973,2019-08-29
132,EPIC 211945201 b,596.0,27 Earths,10.154,2018,,,,,,,,,,,,,,,,,,
133,EPIC 212297394 b,1381.0,2.31 Earths,14.423,2019,55 Cnc,0.7365437,0.01544,0.186,7.81,0.02457,0.061,,1958.0,0.0,5234.0,0.94,0.31,4.45,5.95084,4.015,5.72973,2015-12-03
134,EPIC 212424622 b,2031.0,5.35 Earths,13.354,2019,,,,,,,,,,,,,,,,,,
135,EPIC 212499991 b,932.0,3.19 Earths,13.552,2019,55 Cnc,0.736546,0.01583,0.194,8.37,0.026,0.0,,,0.0,5250.0,0.96,0.35,4.42,5.95084,4.015,5.72973,2014-05-16
136,EPIC 212587672 b,1053.0,1.46 Earths,12.487,2019,,,,,,,,,,,,,,,,,,
137,EPIC 212737443 b,1133.0,7.2 Earths,14.836,2019,55 Cnc,,,,,,,,,0.0,5250.0,0.96,0.35,4.42,5.95084,4.015,5.72973,2020-06-24
138,EPIC 212737443 c,1133.0,7.7 Earths,14.836,2019,,,,,,,,,,,,,,,,,,
139,EPIC 220554210 c,1638.0,2.79 Earths,14.042,2019,55 Cnc,2.808,0.038,,14.30235,0.045,0.174,,,0.0,,,,,5.95084,4.015,5.72973,2016-10-13
140,EPIC 220674823 b,803.0,7.72 Earths,12.102,2016,,,,,,,,,,,,,,,,,,
141,EPIC 220674823 c,803.0,5.8 Earths,12.102,2016,55 Cnc,2.79674,0.0377,,7.4687,0.0235,0.264,,,0.0,5250.0,0.96,0.35,4.42,5.95084,4.015,5.72973,2014-08-21
142,EPIC 246851721 b,1098.0,3 Jupiters,11.439,2018,,,,,,,,,,,,,,,,,,
143,EPIC 248847494 b,1827.0,13 Jupiters,12.416,2018,55 Cnc,0.7365515,0.015691,,8.13928,0.02561,0.04,,,0.0,,,,,5.95084,4.015,5.72973,2014-10-29
144,EPIC 249893012 b,1058.0,8.75 Earths,11.428,2020,,,,,,,,,,,,,,,,,,
145,EPIC 249893012 c,1058.0,14.67 Earths,11.428,2020,55 Cnc,0.73654,0.01583,0.178,8.63,0.027,,,,0.0,,0.94,,,5.95084,4.015,5.72973,2014-05-14
146,EPIC 249893012 d,1058.0,10.18 Earths,11.428,2020,,,,,,,,,,,,,,,,,,
147,Epsilon Coronae Borealis b,228.0,6.7 Jupiters,4.15,2012,55 Cnc,0.7365478,0.015439,,8.09479,0.02547,0.028,,,0.0,5250.0,0.96,0.35,4.42,5.95084,4.015,5.72973,2014-08-21
148,Epsilon Eridani b,11.0,0.78 Jupiters,3.82,2000,,,,,,,,,,,,,,,,,,
149,Epsilon Indi A b,12.0,3.25 Jupiters,4.69,2019,55 Cnc,0.736539,0.01544,0.17,8.08,0.02542,,,,0.0,5250.0,0.96,0.35,4.42,5.95084,4.015,5.72973,2019-01-31
150,Epsilon Tauri b,161.0,7.6 Jupiters,3.54,2006,,,,,,,,,,,,,,,,,,
151,FU Tauri b,457.0,16 Jupiters,20.48,2008,55 Cnc,0.7365417,,,,,,,,0.0,,,,,5.95084,4.015,5.72973,2019-10-24
152,G 9-40 b,91.0,4.76 Earths,13.823,2019,,,,,,,,,,,,,,,,,,
153,Gamma 1 Leonis b,126.0,8.78 Jupiters,1.98,2009,55 Cnc,260.7,0.775,,44.812,0.141,0.0,,,0.0,5250.0,0.96,0.35,4.42,5.95084,4.015,5.72973,2014-08-21
154,Gamma Cephei b,44.0,1.85 Jupiters,3.21,2003,,,,,,,,,,,,,,,,,,
155,Gamma Librae b,155.0,1.02 Jupiters,3.91,2018,55 Cnc,260.98,0.792,,46.87969,0.1475,0.142,,,0.0,5317.89,0.96,0.383,4.46,5.95084,4.015,5.72973,2021-06-28
156,Gamma Librae c,155.0,4.58 Jupiters,3.91,2018,,,,,,,,,,,,,,,,,,
157,GJ 1061 b,12.0,1.37 Earths,13.06,2020,55 Cnc,260.91,0.7733,,47.0051,0.1479,0.08,,,0.0,5250.0,0.96,0.35,4.42,5.95084,4.015,5.72973,2014-08-21
158,GJ 1061 c,12.0,1.74 Earths,13.06,2020,,,,,,,,,,,,,,,,,,
159,GJ 1061 d,12.0,1.64 Earths,13.06,2020,55 Cnc,261.2,0.77,,54.664,0.172,0.32,,,0.0,5250.0,0.96,0.35,4.42,5.95084,4.015,5.72973,2014-05-14
160,GJ 1132 b,41.0,1.66 Earths,13.49,2015,,,,,,,,,,,,,,,,,,
161,GJ 1132 c,41.0,2.64 Earths,13.49,2018,55 Cnc,260.0,0.781,,45.766,0.144,0.2,,,0.0,5250.0,0.96,0.35,4.42,5.95084,4.015,5.72973,2014-05-16
162,GJ 1148 b,36.0,0.30425 Jupiters,11.92,2010,,,,,,,,,,,,,,,,,,
163,GJ 1148 c,36.0,0.21414 Jupiters,11.92,2017,55 Cnc,262.0,0.788,,44.812,0.141,0.305,,,0.0,,,,,5.95084,4.015,5.72973,2014-10-29
164,GJ 1214 b,48.0,6.26125 Earths,15.1,2009,,,,,,,,,,,,,,,,,,
165,GJ 1252 b,66.0,2.09 Earths,12.193,2020,6 Lyn,899.0,2.2,,762.8,2.4,0.134,,,0.0,4978.0,5.2,-0.13,3.16,5.87307,3.701,5.60686,2014-08-21
166,GJ 1265 b,33.0,7.4 Earths,13.57,2018,,,,,,,,,,,,,,,,,,
167,GJ 143 b,53.0,22.7 Earths,7.87,2019,6 Lyn,874.774,2.18,,702.4043,2.21,0.125,,,0.0,,5.2,,,5.87307,3.701,5.60686,2015-09-03
168,GJ 15 A b,12.0,3.03 Earths,8.08,2014,,,,,,,,,,,,,,,,,,
169,GJ 15 A c,12.0,36 Earths,8.08,2018,61 Vir,4.21487,0.04956,,5.11704,0.0161,0.099,,,0.0,5585.57,1.03,0.028,4.37,4.6955,2.956,4.54052,2021-06-28
170,GJ 160.2 b,84.0,10.2 Earths,9.68,2014,,,,,,,,,,,,,,,,,,
171,GJ 163 b,49.0,10.6 Earths,11.81,2013,61 Vir,38.0957,0.2151,,16.1139,0.0507,0.068,,,0.0,5585.57,1.03,0.028,4.37,4.6955,2.956,4.54052,2021-06-28
172,GJ 163 c,49.0,6.8 Earths,11.81,2013,,,,,,,,,,,,,,,,,,
173,GJ 163 d,49.0,29.4 Earths,11.81,2013,7 CMa,796.0,1.93,,781.8618,2.46,0.22,,,0.0,4794.52,4.91,0.088,,3.95,1.564,3.67853,2015-10-22
174,GJ 179 b,40.0,0.82 Jupiters,12.0,2009,,,,,,,,,,,,,,,,,,
175,GJ 180 b,39.0,6.49 Earths,10.91,2014,7 CMa,763.0,1.9,,826.3,2.6,0.14,,,0.0,4792.0,2.3,0.21,3.25,3.95,1.564,3.67853,2014-05-14
176,GJ 180 c,39.0,6.4 Earths,10.91,2014,,,,,,,,,,,,,,,,,,
177,GJ 180 d,39.0,7.56 Earths,10.91,2020,70 Vir,116.69335,0.4765,,2297.89938,7.23,0.3989,,,0.0,5481.86,1.92,-0.04,3.89,4.96808,3.5,4.76178,2021-06-28
178,GJ 2056 b,93.0,16.2 Earths,10.37,2020,,,,,,,,,,,,,,,,,,
